seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
35439,10035439,1,7.220000,3.312341,0.000000,14.000000,45.240000,31.695779,47.040000,6.720000,0,0,70.313372
35442,10035442,1,6.460000,3.060784,1.000000,13.000000,38.840000,26.969138,39.760000,12.720943,0,0,73.228236
35440,10035440,1,6.720000,3.168848,1.000000,12.000000,43.100000,33.228452,48.840000,0.783837,48,0,60.863481
35438,10035438,1,6.920000,3.303574,1.000000,14.000000,44.480000,37.206580,49.000000,0.000000,50,0,76.420502
35444,10035444,1,6.720000,2.474187,1.000000,13.000000,36.740000,17.625901,49.000000,0.000000,50,1,61.721686
35441,10035441,1,8.420000,4.745903,1.000000,20.000000,65.460000,57.453010,49.000000,0.000000,50,1,72.852420
35443,10035443,1,6.640000,3.223414,2.000000,13.000000,40.420000,33.573257,48.660000,2.380000,49,0,70.608656
35449,10035449,1,6.580000,2.735617,0.000000,11.000000,36.040000,22.233272,35.280000,13.130179,0,0,61.290184
35446,10035446,1,5.960000,2.576509,1.000000,11.000000,29.880000,21.418347,49.000000,0.000000,50,0,62.358411
35450,10035450,1,6.620000,2.448591,1.000000,12.000000,34.960000,19.118536,49.000000,0.000000,50,1,59.196082
35448,10035448,1,5.960000,2.382939,1.000000,11.000000,30.480000,19.754736,49.000000,0.000000,50,0,61.011485
35452,10035452,1,5.900000,1.780449,2.000000,10.000000,24.900000,10.456099,24.040000,0.999200,0,0,70.052415
35445,10035445,1,7.140000,2.891436,2.000000,13.000000,43.560000,23.395008,49.000000,0.000000,50,0,69.854798
35451,10035451,1,6.060000,2.781438,0.000000,11.000000,29.680000,19.752914,38.780000,13.958925,0,0,60.545467
35447,10035447,1,6.000000,2.315167,0.000000,10.000000,31.700000,18.794946,47.040000,6.720000,0,0,73.067531
35454,10035454,1,7.460000,3.499771,3.000000,15.000000,48.840000,40.926451,49.000000,0.000000,50,0,55.233893
35453,10035453,1,7.420000,3.400529,3.000000,14.000000,46.500000,36.093351,49.000000,0.000000,50,1,62.720592
35455,10035455,1,7.240000,3.332026,2.000000,15.000000,44.980000,32.867303,49.000000,0.000000,50,0,65.219000
35456,10035456,1,6.540000,2.570681,2.000000,13.000000,37.060000,22.801237,49.000000,0.000000,50,0,60.990704
35459,10035459,1,6.020000,1.805436,1.000000,10.000000,29.680000,13.437917,49.000000,0.000000,50,1,67.346509
35458,10035458,1,6.920000,2.741095,2.000000,13.000000,40.320000,23.600373,49.000000,0.000000,50,1,65.405300
35457,10035457,1,7.980000,4.282476,1.000000,17.000000,64.860000,56.273976,49.000000,0.000000,50,0,64.992872
35460,10035460,1,6.680000,2.949169,1.000000,14.000000,37.500000,29.101375,48.080000,6.440000,49,0,71.283020
35461,10035461,1,6.820000,3.247707,2.000000,15.000000,39.260000,27.906136,22.780000,8.072893,0,0,57.086169
35462,10035462,1,5.980000,2.213504,1.000000,10.000000,31.260000,17.211403,49.000000,0.000000,50,0,67.274703
35463,10035463,1,6.700000,2.968164,0.000000,12.000000,40.740000,23.265262,45.120000,9.210081,0,0,69.864225
